"cash_per_dau","cash_per_user","cli","date_field","dau","earn_type","experiment","gid","total_cash","users","variant_group","version"
12.5981504100506,1031.42857142857,"0",2015-09-04,5731,"purchase","content","4",72200,70,"1","2"
-89.5942255169723,-124.731124388919,"0",2015-08-26,5126,"spend","content","4",-459260,3682,"2","2"
13.0835284933646,1047.5,"0",2015-08-24,6405,"purchase","content","4",83800,80,"3","2"
62.2468384074941,65.2842639593909,"0",2015-08-24,6405,"earn","content","4",398691,6107,"3","2"
52.6792203501817,55.7552447552448,"0",2015-09-05,6054,"earn","content","4",318920,5720,"1","2"
7.69626328419609,724.193548387097,"0",2015-09-02,5834,"purchase","content","4",44900,62,"1","2"
53.1405553651011,56.3471464921847,"0",2015-09-02,5834,"earn","content","4",310022,5502,"1","2"
11.2418831168831,971.929824561404,"0",2015-08-24,4928,"purchase","content","4",55400,57,"2","2"
11.8327183271833,1012.63157894737,"0",2015-09-01,8130,"purchase","content","4",96200,95,"3","2"
-79.5,-115.375758657622,"0",2015-09-01,8130,"spend","content","4",-646335,5602,"3","2"
-73.931775990099,-104.962661981111,"0",2015-09-05,6464,"spend","content","4",-477895,4553,"2","2"
-88.6689241990102,-123.646930621141,"0",2015-08-30,7678,"spend","content","4",-680800,5506,"3","2"
59.8614222453764,63.0993959362987,"0",2015-08-30,7678,"earn","content","4",459616,7284,"3","2"
9.271408839779,789.705882352941,"0",2015-09-11,5792,"purchase","content","4",53700,68,"1","2"
-64.9048180592992,-95.7204968944099,"0",2015-09-16,5936,"spend","content","4",-385275,4025,"1","2"
11.1370386084005,921.052631578947,"0",2015-08-24,4714,"purchase","content","4",52500,57,"1","2"
65.2825625795503,68.8769024171889,"0",2015-08-24,4714,"earn","content","4",307742,4468,"1","2"
50.6033680834002,53.9428962215763,"0",2015-09-04,6235,"earn","content","4",315512,5849,"2","2"
-69.4971932638332,-100.072748267898,"0",2015-09-04,6235,"spend","content","4",-433315,4330,"2","2"
6.91283088855168,672.131147540984,"0",2015-09-01,5931,"purchase","content","4",41000,61,"1","2"
-81.3378856853819,-116.9207464857,"0",2015-09-01,5931,"spend","content","4",-482415,4126,"1","2"
9.94483604045357,1100,"0",2015-09-12,6526,"purchase","content","4",64900,59,"2","2"
8.19644653033859,815,"0",2015-08-30,5966,"purchase","content","4",48900,60,"2","2"
-88.8157894736842,-121.978591160221,"0",2015-08-30,5966,"spend","content","4",-529875,4344,"2","2"
-61.7493796526055,-88.3909542978925,"0",2015-09-08,6045,"spend","content","4",-373275,4223,"2","2"
-79.0456279342723,-110.156409732161,"0",2015-08-27,6816,"spend","content","4",-538775,4891,"3","2"
50.0339830725827,53.0981219379423,"0",2015-09-03,7798,"earn","content","4",390165,7348,"3","2"
6.52731469607592,834.426229508197,"0",2015-09-03,7798,"purchase","content","4",50900,61,"3","2"
-76.0956601466993,-106.791764958181,"0",2015-09-06,6544,"spend","content","4",-497970,4663,"2","2"
-86.1800541516245,-119.185562721032,"0",2015-08-26,6648,"spend","content","4",-572925,4807,"3","2"
47.8373713906406,50.7603451311851,"0",2015-09-09,6026,"earn","content","4",288268,5679,"2","2"
