action_type,actions,actions_per_dau,actions_per_user,cli,date_field,dau,experiment,gid,users,variant_group,version
clear,61623,10.00211005,14.33759888,0,09/06/2015,6161,content,4,4298,1,2
view,71314,11.57506898,11.80695364,0,09/06/2015,6161,content,4,6040,1,2
use_hint,11523,2.373918418,3.380170138,0,08/25/2015,4854,content,4,3409,1,2
view,67742,13.95591265,14.20167715,0,08/25/2015,4854,content,4,4770,1,2
view,73985,11.30577628,11.52593862,0,09/06/2015,6544,content,4,6419,2,2
fail,45104,6.892420538,8.756357989,0,09/06/2015,6544,content,4,5151,2,2
clear,63514,9.705684597,13.89499016,0,09/06/2015,6544,content,4,4571,2,2
view,68246,14.47730165,14.74632671,0,08/24/2015,4714,content,4,4628,1,2
clear,60596,12.85447603,17.81711261,0,08/24/2015,4714,content,4,3401,1,2
view,60140,9.823587063,10.04342017,0,09/07/2015,6122,content,4,5988,2,2
fail,37340,6.09931395,7.841243175,0,09/07/2015,6122,content,4,4762,2,2
use_hint,10761,1.757758902,2.530213967,0,09/07/2015,6122,content,4,4253,2,2
clear,51149,8.354949363,12.15806988,0,09/07/2015,6122,content,4,4207,2,2
fail,33587,5.6648676,7.699908299,0,09/15/2015,5929,content,4,4362,1,2
view,53359,8.999662675,9.286286112,0,09/15/2015,5929,content,4,5746,1,2
clear,45073,7.602125148,11.70423267,0,09/15/2015,5929,content,4,3851,1,2
use_hint,15045,1.889126067,2.694305158,0,09/02/2015,7964,content,4,5584,3,2
fail,52926,6.64565545,8.457334612,0,09/02/2015,7964,content,4,6258,3,2
view,83248,13.95373785,14.25723583,0,08/30/2015,5966,content,4,5839,2,2
clear,72815,12.20499497,16.89051264,0,08/30/2015,5966,content,4,4311,2,2
fail,47539,6.974618545,8.783998522,0,08/27/2015,6816,content,4,5412,3,2
view,78302,11.48796948,11.70608462,0,08/27/2015,6816,content,4,6689,3,2
clear,47291,8.334684526,12.12900744,0,09/08/2015,5674,content,4,3899,1,2
use_hint,10115,1.782692986,2.526854859,0,09/08/2015,5674,content,4,4003,1,2
use_hint,15807,1.88627685,2.670101351,0,09/06/2015,8380,content,4,5920,3,2
view,85953,10.25692124,10.47823967,0,09/06/2015,8380,content,4,8203,3,2
view,61762,9.947173458,10.26287803,0,09/16/2015,6209,content,4,6018,2,2
fail,53489,6.382935561,8.094582324,0,09/06/2015,8380,content,4,6608,3,2
clear,45738,7.488212181,11.62929062,0,09/11/2015,6108,content,4,3933,2,2
view,54351,8.898330059,9.163884674,0,09/11/2015,6108,content,4,5931,2,2
use_hint,9862,1.614603798,2.38558297,0,09/11/2015,6108,content,4,4134,2,2
view,64186,8.198492783,8.372815027,0,09/10/2015,7829,content,4,7666,3,2
clear,53627,6.849789245,10.57106249,0,09/10/2015,7829,content,4,5073,3,2
use_hint,12495,1.595989271,2.338136228,0,09/10/2015,7829,content,4,5344,3,2
use_hint,13405,1.712005109,2.45108795,0,09/07/2015,7830,content,4,5469,3,2
fail,45349,5.791698595,7.446469622,0,09/07/2015,7830,content,4,6090,3,2
clear,61180,7.813537676,11.43124066,0,09/07/2015,7830,content,4,5352,3,2
fail,36172,5.709865825,7.679830149,0,09/14/2015,6335,content,4,4710,2,2
use_hint,10560,1.666929755,2.447276941,0,09/14/2015,6335,content,4,4315,2,2
view,58973,9.309076559,9.575093359,0,09/14/2015,6335,content,4,6159,2,2
view,73954,8.885498018,9.263935864,0,09/12/2015,8323,content,4,7983,3,2
fail,44446,5.651831129,7.304190633,0,09/08/2015,7864,content,4,6085,3,2
view,69771,8.872202442,9.069413753,0,09/08/2015,7864,content,4,7693,3,2
fail,38201,7.766009351,9.850696235,0,08/27/2015,4919,content,4,3878,1,2
view,62027,12.60967676,12.8954262,0,08/27/2015,4919,content,4,4810,1,2
use_hint,10666,2.168326896,3.121451566,0,08/27/2015,4919,content,4,3417,1,2
use_hint,10918,1.758415204,2.623888488,0,09/16/2015,6209,content,4,4161,2,2
fail,35985,5.795619262,8.10472973,0,09/16/2015,6209,content,4,4440,2,2
